form	volume	scan	headword_ocr	printed
ACRATISMA	bsb11762465	899	Morgenbrodt .	ἀκράτισμα
ACRATISMOS	bsb11762465	899	Morgenbrodt .	ἀκρατισμός
ACRATO	bsb11762465	1017	barach .	ἄκρατο
ACRATON	bsb10314207	171	Wein .	ἄκρατον
ACRATOS	bsb10314207	171	We	ἄκρατος
ACRE	bsb11762465	57	Ab	ἀκρέ-
ACREEIN	bsb11762465	695	Hi	ακρέειν
ACRI	bsb11762465	505	Für gewiß halten .	ἀκρι-
ACRIAAS	bsb11762465	712	Horchen .	ἀκριᾶας
ACRIAS	bsb10314207	127	Vnredlich .	ἄκρίας
ACRIBE	bsb10314207	146	wendig lernen .	ἀκριβέ
ACRIBEIAN	bsb11762465	722	Hurtiglich .	ἀκρίβειαν
ACRIBES	bsb10314207	158	Warheit .	ἀκριβές
ACRIBESA	bsb11762465	113	Artliche Rede .	ἀκριβέσα
ACRIBESATOS	bsb11762465	722	Hurtiglich .	ἀκριβέςατος
ACRIBESERON	bsb11762465	522	Ga	ἀκριβέςερον
ACRIBESTITES	bsb11762465	511	Gar fleissig .	ἀκριβεστίτης
ACRIBIZATE	bsb10314207	225	Be	ἀκριβιζάτη
ACRIBO	bsb11762465	249	Bolen .	άκριβο
ACRIBOS	bsb10314207	41	reden oder gründen .	ἀκριβώς
ACRIDI	bsb11762465	810	Kunstreich malen .	ἀκριδί-
ACRINEIN	bsb11762465	66	Abfondern .	ακρίνειν
ACRINEOTHAI	bsb10314207	102	Ba	ακρίνεοθαι
ACRINETHAI	bsb10314207	258	3m	ακρίνεθαι
ACRITAS	bsb10314207	150	fprechen .	ακρίτας
ACRITOMULOS	bsb11762465	778	Klafferer .	ἀκριτόμυλος
ACRITOMUTHOS	bsb10314207	137	Mensch .	ἀκριτόμυθος
ACRITOMYLOS	bsb11762465	778	Klafferer .	ἀκριτόμυλος
ACRITOMYTHOS	bsb10314207	137	Mensch .	ἀκριτόμυθος
ACRITOS	bsb10314207	219	Longitudo temporis .	ακριτος
ACRIZE	bsb10314207	32	Türckif .	ἀκρίζε
ACRO	bsb11762465	699	Hoch .	ἄκρο
ACROAATHZ	bsb11762465	227	Audire deprecantem .	ἀκροᾶαθζ
ACROASIN	bsb11762465	537	Gehör machen .	ἀκρόασιν
ACROASIS	bsb11762465	537	Gehör / Audieną .	ἀκρόασις
ACROATAS	bsb11762465	537	Ge	ἀκροάτας
ACROATAZ	bsb11762465	712	Horchen .	ἀκροάταζ
ACROATEN	bsb11762465	227	Audire deprecantem .	ἀκροατὴν
ACROATERIO	bsb11762465	280	Cameel .	ἀκροατήριο
ACROBOLISMOS	bsb11762465	1028	Scharmüşel .	ἀκροβολισμός
ACROBOLIZES	bsb11762465	249	Bolen .	ἀκροβολίζες
ACROCNEFES	bsb11762465	497	Fr	ἀκροκνεφής
ACROCNEPHES	bsb11762465	497	Fr	ἀκροκνεφής
ACRODRUA	bsb11762465	165	Beer / oder Korn .	ἀκρόδρυα
ACRODRUON	bsb11762465	931	Nuß	ἀκρόδρυον
ACRODRYA	bsb11762465	165	Beer / oder Korn .	ἀκρόδρυα
ACRODRYON	bsb11762465	931	Nuß	ἀκρόδρυον
ACROFULAX	bsb11762465	933	Oberster .	ἀκροφύλαξ
