form	volume	scan	headword_ocr	printed
atah	bsb10314207	180	Wenden .	atah
atalleph	bsb11762465	470	Fledermauf .	atalleph
atam	bsb11762465	1132	Starck sein .	atam
ataph	bsb10314207	26	Tropffen .	ataph
atar	bsb10314207	58	Verhüten .	atar
atarah	bsb11762465	764	1 Vogels .	atarah
atate	bsb10314207	254	Zu 1	atate
atch	bsb11762465	862	Mantel .	atch
atchpah	bsb11762465	332	Dreck .	atchpah
ateret	bsb11762465	806	Krug .	ateret
atfa	bsb11762465	137	Aufgehen .	atfa
atfabbim	bsb11762465	599	Göke .	atfabbim
atfak	bsb11762465	476	Flieffen .	atfak
atfal	bsb10314207	102	Ba	atfal
atfam	bsb10314207	92	Vmbschliessen .	atfam
atfar	bsb11762465	655	Handhaben .	atfar
atfarah	bsb11762465	946	Pallast .	atfarah
atfel	bsb11762465	439	Fa	atfel
athak	bsb10314207	42	Veralten .	athak
atham	bsb11762465	93	Amptman .	atham
athar	bsb10314207	37	Vberflüßig seyn	athar
athed	bsb11762465	916	Nagel .	athed
athla	bsb11762465	89	Amethist .	athla-
atial	bsb11762465	696	Hirsch .	atial
atifa	bsb10314207	215	Banck .	atifa
atin	bsb11762465	871	Melekemmer .	atin
atlam	bsb11762465	637	Groffer werden .	atlam
atlar	bsb11762465	123	Au	atlar
atlats	bsb10314207	222	Zerschtahen .	atlats
atque	bsb10314207	190	Item .	atque
atrum	bsb10314207	118	Ongewitter ...	atrum
atslah	bsb11762465	440	Fa	atslah
atsluth	bsb11762465	819	schlefferigkeit .	atsluth
attabh	bsb11762465	382	Engstig sein .	attabh
attali	bsb11762465	931	Nun / Jckiger zeit .	attali
atte	bsb11762465	526	Gebetr .	atte-
attirer	bsb11762465	147	Außzucken .	attirer
attud	bsb11762465	243	Bork .	attud
atſabh	bsb11762465	179	Bekümmert seyn .	atſabh
atſam	bsb11762465	132	Augen zuthun .	atſam
atſubh	bsb11762465	211	Be	atſubh
auch	bsb11762465	116	Athem holen .	auch
auctor	bsb11762465	270	bent .	Auctor
auctore	bsb11762465	75	Aher / Kornaher .	auctore
aucun	bsb11762465	69	Ab	aucun
aucupari	bsb10314207	209	Wornach streben .	aucupari
audax	bsb11762465	808	Kün .	Audax
audir	bsb11762465	65	Abschewen haben .	audir
auec	bsb11762465	68	Ab	auec
auere	bsb11762465	167	Begeren .	auere
auff	bsb11762465	1040	Schiffen .	Auff
aufpicium	bsb11762465	922	New Jahr .	aufpicium
auiditas	bsb11762465	108	Appetit / Luft .	auiditas
aulum	bsb10314207	148	Vorhoff .	aulum
auoir	bsb11762465	70	Ack	auoir
aupres	bsb10314207	238	Zu .	aupres
aura	bsb11762465	308	Derhalben .	Aura
auras	bsb11762465	116	Athem holen .	auras
auril	bsb11762465	108	Aprill .	auril
aurum	bsb11762465	543	Geleutert Gold .	Aurum
autem	bsb11762465	282	Circkel .	autem
auth	bsb11762465	384	Entschuldigung .	Auth
autre	bsb11762465	61	Götter .	autre
autumni	bsb10314207	266	Im Herbste .	autumni
avargjev	bsb11762465	384	Enkunden .	avargjev
awah	bsb11762465	855	Luft / begierde .	awah
aſali	bsb11762465	365	Ei	aſali
aſne	bsb10314207	155	Wa	aſne
aſnichon	bsb11762465	410	Efel .	aſnichon
aſtate	bsb11762465	1128	Stehende See .	aſtate
baach	bsb11762465	1137	Stincken .	baach
baah	bsb11762465	427	Eischen / Fordern .	baah
baal	bsb11762465	150	Bader .	baal
baalaabh	bsb11762465	272	Bulen .	baalaabh
baaliſch	bsb11762465	349	Ehemann .	baaliſch
baar	bsb11762465	99	Angeboren freund .	baar
baarets	bsb10314207	254	Herrschen .	baarets
baat	bsb10314207	224	Zertretten .	baat
babath	bsb11762465	131	Augapffel .	babath
babboker	bsb11762465	497	Fr	babboker
babulous	bsb11762465	550	Ge	babulous
bacchar	bsb11762465	279	Cameel .	bacchar
bach	bsb11762465	703	Infigniter probare .	bach
bachah	bsb10314207	174	We	bachah
bachar	bsb11762465	136	Auserwehlen .	bachar
