volume	scan	headword_ocr	token
bsb10314207	180	Wenden .	iarat
bsb10314207	180	Wenden .	fatah
bsb10314207	180	Wenden .	atah
bsb10314207	180	Werben .	harrachal
bsb10314207	180	Werber .	focher
bsb10314207	180	Werber .	chủ
bsb10314207	181	Werbung .	fechorah
bsb10314207	181	Werbung .	yllah
bsb10314207	181	Werbung .	yllah
bsb10314207	181	Werbung .	kenaah
bsb10314207	181	Gall . marchandise .	pifchteh
bsb10314207	181	Gall . marchandise .	coreth
bsb10314207	181	Item :	poal
bsb10314207	181	Item :	melacha
bsb10314207	181	Item :	melacha
bsb10314207	181	Item :	ali
bsb10314207	181	Item :	poc
bsb10314207	181	Werth .	ratfui
bsb10314207	181	Wehrt machen .	higdil
bsb10314207	181	Wehrt machen .	cibbed
bsb10314207	181	Wehrt machen .	Græc
bsb10314207	181	Werffen .	adhachah
bsb10314207	182	Wehrhafftig sein .	dor
bsb10314207	182	Wehrhafftig sein .	mafchach
bsb10314207	182	Werme .	chumchammah
bsb10314207	182	Werme .	farabh
bsb10314207	182	Wespe .	tirah
bsb10314207	182	Wessern .	hiruah
bsb10314207	182	Wessern .	hifchtiph
bsb10314207	183	Wickeln .	chittel
bsb10314207	183	Wickeln .	bachfrag
bsb10314207	183	Wieder / Hammet .	ail
bsb10314207	184	Wi	neged
bsb10314207	184	Wi	karah
bsb10314207	184	Wi	paga
bsb10314207	184	Widergelten .	fchillem
bsb10314207	184	Widerholung .	miſchnah
bsb10314207	185	Widerkehrung .	thefehubah
bsb10314207	185	Widerfpenfig .	forer
bsb10314207	185	Widerfpenfig .	mored
bsb10314207	186	Widerftreiten .	marad
bsb10314207	186	Widerftreiten .	marah
bsb10314207	186	Widerftreiten .	pafcha
bsb10314207	186	Widerumb .	fchenith
bsb10314207	186	Widerumb .	fchubh
bsb10314207	186	ten / geben .	chillem
bsb10314207	188	ten aufferwecken .	hekim
bsb10314207	188	ten aufferwecken .	hekim
bsb10314207	190	Widwe .	almanah
bsb10314207	190	Wie ? Interrogat .	hech
bsb10314207	190	Item .	caafcher
